Brand,Filament Name/Type,Color Name,Hex Code
Bambu Lab,PLA Basic,Jade White,#FFFFFF
Bambu Lab,PLA Basic,Beige,#F7E6DE
Bambu Lab,PLA Basic,Gold,#E4BD68
Bambu Lab,PLA Basic,Silver,#A6A9AA
Bambu Lab,PLA Basic,Gray,#8E9089
Bambu Lab,PLA Basic,Bronze,#847D48
Bambu Lab,PLA Basic,Brown,#9D432C
Bambu Lab,PLA Basic,Cocoa Brown,#6F5034
Bambu Lab,PLA Basic,Maroon Red,#9D2235
Bambu Lab,PLA Basic,Red,#C12E1F
Bambu Lab,PLA Basic,Magenta,#EC008C
Bambu Lab,PLA Basic,Pink,#F55A74
Bambu Lab,PLA Basic,Hot Pink,#F5547C
Bambu Lab,PLA Basic,Orange,#FF6A13
Bambu Lab,PLA Basic,Pumpkin Orange,#FF9016
Bambu Lab,PLA Basic,Sunflower Yellow,#FEC600
Bambu Lab,PLA Basic,Yellow,#F4EE2A
Bambu Lab,PLA Basic,Bright Green,#BECF00
Bambu Lab,PLA Basic,Bambu Green,#00AE42
Bambu Lab,PLA Basic,Mistletoe Green,#3F8E43
Bambu Lab,PLA Basic,Turquoise,#00B1B7
Bambu Lab,PLA Basic,Cyan,#0086D6
Bambu Lab,PLA Basic,Blue,#0A2989
Bambu Lab,PLA Basic,Cobalt Blue,#0056B8
Bambu Lab,PLA Basic,Purple,#5E43B7
Bambu Lab,PLA Basic,Indigo Purple,#482960
Bambu Lab,PLA Basic,Blue Gray,#5B6579
Bambu Lab,PLA Basic,Light Gray,#D1D3D5
Bambu Lab,PLA Basic,Dark Gray,#545454
Bambu Lab,PLA Basic,Black,#000000
